epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.316,2.11917,5.7963,1.48195,0,0,0,0,1.11112,5.55049,0.95983,5.84733e-05,5.84733e-05,5.84733e-05
2,295.723,1.59309,4.98721,1.06008,0.013,0.61976,0.02268,0.01452,1.20077,4.5184,0.93721,0.000114241,0.000114241,0.000114241
3,439.483,1.50164,4.32654,1.03604,0.17521,0.14268,0.03836,0.02351,1.39478,3.92567,1.02497,0.000166071,0.000166071,0.000166071
4,580.979,1.44119,3.94796,1.03863,0.06662,0.18932,0.04536,0.02728,1.41094,3.66132,1.02926,0.000161279,0.000161279,0.000161279
5,725.218,1.41993,3.6925,1.03255,0.12801,0.12553,0.06065,0.04093,1.23291,3.49789,0.98384,0.000155372,0.000155372,0.000155372
6,866.248,1.41204,3.54492,1.04357,0.10521,0.20856,0.07367,0.04323,1.51058,3.39423,1.08423,0.000149465,0.000149465,0.000149465
7,1008.01,1.38603,3.40788,1.03678,0.0632,0.21591,0.09006,0.05404,1.52,3.23271,1.07863,0.000143558,0.000143558,0.000143558
8,1149.65,1.37823,3.30155,1.0312,0.10313,0.25525,0.10385,0.06759,1.35844,3.11632,1.03586,0.000137651,0.000137651,0.000137651
9,1293,1.3614,3.18869,1.0184,0.08934,0.29766,0.12743,0.08726,1.19042,3.02195,0.98106,0.000131744,0.000131744,0.000131744
10,1435.38,1.341,3.12963,1.03434,0.11054,0.30467,0.14392,0.08863,1.46199,2.97722,1.0496,0.000125837,0.000125837,0.000125837
11,1577.9,1.32554,3.06935,1.02432,0.11191,0.33333,0.16519,0.10099,1.43482,2.92621,1.03748,0.00011993,0.00011993,0.00011993
12,1724.49,1.32324,3.01852,1.02296,0.13672,0.39424,0.19121,0.12718,1.26575,2.85062,0.9844,0.000114023,0.000114023,0.000114023
13,1871.28,1.35353,2.96679,1.02555,0.14476,0.40326,0.21389,0.13226,1.3795,2.82426,1.02336,0.000108116,0.000108116,0.000108116
14,2014.18,1.31417,2.87083,1.02454,0.16189,0.46847,0.23469,0.14064,1.46575,2.74059,1.048,0.000102209,0.000102209,0.000102209
15,2162.54,1.33439,2.82238,1.0202,0.19495,0.40416,0.25055,0.15505,1.38927,2.67666,1.02532,9.6302e-05,9.6302e-05,9.6302e-05
16,2307.72,1.28817,2.77381,1.02127,0.20776,0.47267,0.28108,0.17361,1.38939,2.64941,1.03068,9.0395e-05,9.0395e-05,9.0395e-05
17,2455.52,1.28442,2.72159,1.024,0.26096,0.42578,0.3104,0.19176,1.41484,2.57584,1.03458,8.4488e-05,8.4488e-05,8.4488e-05
18,2599.42,1.32473,2.67907,1.02447,0.25742,0.47847,0.34693,0.22764,1.25192,2.5101,0.98886,7.8581e-05,7.8581e-05,7.8581e-05
19,2743.91,1.2886,2.6343,1.02088,0.27548,0.49922,0.35987,0.23777,1.2795,2.44655,0.99866,7.2674e-05,7.2674e-05,7.2674e-05
20,2891.33,1.29856,2.59855,1.03496,0.30792,0.53359,0.39189,0.26581,1.21583,2.38028,0.97909,6.6767e-05,6.6767e-05,6.6767e-05
21,3034.79,1.25558,2.52786,1.0536,0.29768,0.56319,0.39933,0.26502,1.2455,2.36862,0.99539,6.086e-05,6.086e-05,6.086e-05
22,3177.4,1.23802,2.47221,1.0435,0.30519,0.5418,0.40947,0.28316,1.14722,2.33405,0.96133,5.4953e-05,5.4953e-05,5.4953e-05
23,3319.97,1.22444,2.42617,1.03798,0.32076,0.54198,0.43336,0.27614,1.33497,2.29193,1.01172,4.9046e-05,4.9046e-05,4.9046e-05
24,3463.16,1.23756,2.39011,1.04765,0.32322,0.58257,0.45163,0.30413,1.20389,2.24099,0.98071,4.3139e-05,4.3139e-05,4.3139e-05
25,3605.9,1.21803,2.34588,1.02981,0.32066,0.61972,0.46134,0.31366,1.17298,2.20982,0.96783,3.7232e-05,3.7232e-05,3.7232e-05
26,3748.92,1.21887,2.35245,1.04308,0.32205,0.58925,0.46824,0.31378,1.21556,2.19123,0.98315,3.1325e-05,3.1325e-05,3.1325e-05
27,3892.27,1.20863,2.30734,1.03509,0.33026,0.61822,0.47692,0.32003,1.21845,2.17881,0.98221,2.5418e-05,2.5418e-05,2.5418e-05
28,4035.29,1.22185,2.31027,1.02592,0.35124,0.59055,0.49396,0.32708,1.246,2.15137,0.98356,1.9511e-05,1.9511e-05,1.9511e-05
29,4178.47,1.20806,2.25987,1.02204,0.35862,0.59962,0.49137,0.33271,1.20006,2.14112,0.97471,1.3604e-05,1.3604e-05,1.3604e-05
30,4321.43,1.20604,2.26779,1.02497,0.36564,0.59152,0.49374,0.32919,1.24222,2.14019,0.98415,7.697e-06,7.697e-06,7.697e-06
